,hkl_string,hkl_tuple,slab_thickness,vac_thickness,slab_index,atoms,area,bandgap,slab_energy,slab_per_atom,time_taken,surface_energy,surface_energy_ev,vacuum_potential,vacuum_gradient,surface_energy_fm,surface_energy_boettger,surface_energy_ouc,surface_energy_prim
0,10,"(0, 1, 0)",10,10,0,24,26.109033226959006,2.0735,-185.11670083,-7.713195867916667,82.966,0.6182291598998413,0.038591083639191,5.989,-0.0010909507996537,0.624414524227934,,0.6201775886163629,0.6242678804464569
1,10,"(0, 1, 0)",20,10,0,48,26.109033226959006,2.1285,-372.26815681,-7.755586600208333,238.487,0.6122150316693984,0.0382156698919724,8.004,-27.83894302436476,0.6245857603255839,0.6234152793254065,0.6161118891024416,0.6242924727626296
2,10,"(0, 1, 0)",30,10,0,72,26.109033226959006,2.1312,-559.41826332,-7.769698101666667,512.387,0.6066149078413943,0.0378660991161919,9.013,-42.77089474741916,0.6251710008256812,0.6243953733210382,0.6124601939909592,0.6247310694812499
3,10,"(0, 1, 0)",40,10,0,96,26.109033226959006,2.132,-746.56943472,-7.776764945,1057.408,0.6006880860148462,0.0374961352069192,9.617,-31.64388527254158,0.6254295433272173,0.6256677188925434,0.6084818008809328,0.6248429682013087
4,10,"(0, 1, 0)",50,10,0,120,26.109033226959006,2.1321,-933.72164294,-7.781013691166667,1958.69,0.5944431777954221,0.0371063157175669,10.02,-25.957897822820776,0.6253699994358771,0.6255677205708391,0.6041853213780303,0.6246367805284914
5,10,"(0, 1, 0)",60,10,0,144,26.109033226959006,2.132,-1120.87378597,-7.783845735902777,2627.405,0.5882182692403387,0.0367177446467127,10.312,-20.827615338039227,0.6253304552089126,0.6303012076183377,0.5999088415394686,0.6244505925200498
6,10,"(0, 1, 0)",70,10,0,168,26.109033226959006,2.1321000000000003,-1308.02850051,-7.785883931607143,3436.714,0.5812044461773388,0.0362799279761135,10.529,-18.56130894730448,0.6245019964739968,,0.5948434471930251,0.6234754900036569
7,10,"(0, 1, 0)",10,20,0,24,26.109033226959006,2.0736,-185.11974419,-7.713322674583334,110.146,0.6172954863552089,0.038532801894832,3.993,0.0003095252147527,0.6234415039416388,,0.6192439150717305,0.6233342069018245
8,10,"(0, 1, 0)",20,20,0,48,26.109033226959006,2.1285,-372.27097932,-7.7556454025,333.479,0.6113491127782863,0.0381616175267344,6.003,0.0012092054648693,0.6236411479511461,0.6220338605732418,0.6152459702113294,0.6234265538715176
9,10,"(0, 1, 0)",30,20,0,72,26.109033226959006,2.1316,-559.42024568,-7.769725634444445,699.293,0.6060067388808085,0.0378281360100379,7.211,0.0153266809930384,0.6244447916400894,0.6229865459172204,0.6118520250303733,0.624122900520664
